drink,volume,caffeine,strength,type
E6 Energy Shot,2,150,75,shots
Enerji Green Tea Energy Shot,2.5,100,40,shots
Eternal Energy Shot,1.93,222,115,shots
Facedrink Energy Shot,2.5,140,56,shots
Fuel Cell,2,180,90,shots
G Shot Antioxidant Energy,2.4,80,33.3,shots
Guayaki Energy Shots,2,140,70,shots
Hardcore Energize Bullet,2.9,300,103.4,shots
Hawaiian OLA Noni Energy Shot,2.5,150,60,shots
Health Energy Potion,2,160,80,shots
Hydroxycut Instant Shot,2,200,100,shots
iShot Energy Shot,2.03,120,59.1,shots
iShot Love Potion,2.03,90,44.3,shots
iShot Skinny Energy Shot,2.03,78,38.4,shots
Jolt Endurance Shot,2,200,100,shots
Karvana Kombucha Energy Shot,4.5,110,24.4,shots
Kirkland Energy Shot,2,180,90,shots
Kombucha Extreme Energy Shot,2,150,75,shots
Liquid Caffeine,1,500,500,shots
Mana Energy Potion,1.35,160,118.5,shots
Mix and Go,0.34,100,294.1,shots
MonaVie,2,0,0,shots
Monster Hitman Sniper,3,240,80,shots
Nap Nock Energy Shot,2.03,102,50.2,shots
NoDoz Energy Shot,1.89,115,60.8,shots
NOS Energy Shot,2.03,250,123.2,shots
NRG MicroShot,0.2,130,650,shots
Octane Energy Burst,1.01,10,9.9,shots
OnGo Energy Shot,2,177,88.5,shots
Pirate Energy Shot,1.7,133,78.2,shots
Player Aid Energy Shot,2,120,60,shots
Pyure o.e.o. Energy Shot,2,100,50,shots
Reckless Energy Shot,2.37,125,52.7,shots
Red Fin Energy Shot,2,200,100,shots
Red Thunder Energy Shot,2,100,50,shots
Redline Power Rush,2.5,350,140,shots
Redline Xtreme Shot,3,300,100,shots
Rip It Energy Shot,2,100,50,shots
Rock On Energy Shot,2,125,62.5,shots
Rockstar Energy Shot,2.5,200,80,shots
Screamin Energy Max Hit,0.6087,185,303.9,shots
Spike Energy Double Shot,4.26,350,82.2,shots
Sport Max Energy Shot,2,140,70,shots
Street King Energy Shot,2.5,280,112,shots
Surge Energy Shot,2.5,140,56,shots
TruBrain Morning,1,80,80,shots
V Pocket Rocket Energy Shot,2.03,200,98.5,shots
Vital 4U Liquid Energy,0.5072,155,305.6,shots
Voltz Energy Shot,2,50,25,shots
Worx Energy Shot,2,160,80,shots
Y.E.S. Energy Shot,2,180,90,shots
Zombie Blood Energy Potion,3.4,80,23.5,shots
